"player_id","player_name","team_name","start_year","end_year","pitches","catcher_blocking_runs","blocks_above_average","n_pbwp","x_pbwp","blocks_above_average_per_game","freq_pbwp_easy","freq_pbwp_medium","freq_pbwp_tough","diff_pbwp_easy","diff_pbwp_medium","diff_pbwp_tough"
642851,"Wynns, Austin","ATH",2025,,1096,0,1,6,6.651756065831961,0.023786717731093466,0.9717153284671534,0.022810218978102197,0.005474452554744528,-0.8112511741225195,1.2050023741162195,0.2580048658382623
666163,"Rortvedt, Ben","LAD",2025,,1465,0,1,11,11.67943449034666,0.018551112364413657,0.9590443686006821,0.030716723549488047,0.010238907849829353,2.5008443072418394,-0.08137025203952543,-1.7400395648556615
689414,"Hicks, Liam","MIA",2025,,2066,0,1,23,23.64295860710369,0.01244837574256934,0.9453049370764758,0.042594385285576006,0.01210067763794772,-0.7133938590598772,2.150464874673169,-0.7941124085095812
595978,"Hedges, Austin","CLE",2025,,1982,0,0,14,14.275231793222206,0.005554627512052543,0.9591321897073665,0.03279515640766899,0.008072653884964675,3.462590690626236,-0.7926692382014799,-2.394689659202553
656577,"Jackson, Alex","BAL",2025,,1207,0,0,9,9.14941256291476,0.004951534810762806,0.9585749792874904,0.037282518641259324,0.004142502071251031,1.0886411633171893,-1.5060953466070361,0.5668667462046151
669127,"Langeliers, Shea","ATH",2025,,4678,0,0,26,26.29477365810425,0.002520510116325379,0.9745617785378364,0.020521590423257772,0.004916631038905518,-0.18799710536314315,1.1218409057214889,-0.6390701422540899
669224,"Wells, Austin","NYY",2025,,4592,0,0,38,37.95109892895412,-0.0004259675178210703,0.9570993031358884,0.03375435540069695,0.00914634146341462,5.586198787741923,3.0043628677930307,-8.63946272658081
668670,"Rogers, Jake","DET",2025,,1426,0,0,13,12.842221486771411,-0.0044257647469454165,0.9579242636746137,0.031556802244039256,0.010518934081346437,2.988708425041957,1.009853254906599,-4.1563401931771615
700337,"Quero, Edgar","CWS",2025,,2621,0,0,19,18.532273632077946,-0.007138136099535315,0.9641358260206028,0.028996566196108343,0.006867607783288815,4.927030970480038,-3.0350656570524372,-2.3596916813496485
665561,"Marchán, Rafael","PHI",2025,,1230,0,0,7,6.717716064034571,-0.009179965397249473,0.9723577235772349,0.025203252032520333,0.002439024390243906,0.7825260838973761,-0.7237546270659713,-0.3410553927968272
680779,"Davis, Henry","PIT",2025,,2600,0,-1,18,16.859292118255112,-0.0175493520268441,0.9715384615384619,0.022307692307692313,0.006153846153846161,1.1071336464934762,0.09630070748816871,-2.3441422357265074
641680,"Heim, Jonah","TEX",2025,,3293,0,-1,28,26.509027353473385,-0.01811081259066651,0.9565745520801711,0.03492256301245066,0.008502884907379294,4.173388210778902,-2.0025091199443232,-3.661851737361202
620443,"Torrens, Luis","NYM",2025,,2927,0,-1,33,31.57058851527756,-0.019534150799076347,0.9419200546634777,0.04202254868466003,0.016057396651861962,1.8152420803735572,-0.5054601832371465,-2.7391933818588217
518595,"d'Arnaud, Travis","LAA",2025,,2172,0,-1,16,14.898676053651425,-0.020282208956695934,0.9654696132596684,0.027163904235727426,0.007366482504604057,1.879132809054699,-2.014412245256746,-0.9660445101465448
690924,"Fulford, Braxton","COL",2025,,1272,0,-1,12,10.772917410839847,-0.03858750280377893,0.9583333333333333,0.029874213836478,0.011792452830188664,-0.9541005064108652,2.1147135276531097,-2.3876956104024156
673237,"Diaz, Yainer","HOU",2025,,4212,0,-2,31,29.03145778444901,-0.018694607934957273,0.9658119658119659,0.029202279202279222,0.004985754985754988,-1.2879959290069813,0.6893507484545678,-1.3698970349985946
686780,"Pagés, Pedro","STL",2025,,4058,0,-2,43,41.09909980226797,-0.01873731096828077,0.9430754066042394,0.04238541153277476,0.014539181862986686,-4.685167866015728,1.7026804183496982,1.0815872499339545
656180,"Adams, Riley","WSH",2025,,2949,0,-2,27,25.01690573643243,-0.02689853188969214,0.9616819260766353,0.027806035944387898,0.010512037978975926,-0.02456491892165879,-0.44917019084920573,-1.5093591537966877
641598,"Garver, Mitch","SEA",2025,,1603,0,-2,14,12.326815592222617,-0.04175132645732685,0.9650655021834066,0.026200873362445396,0.008733624454148475,1.3737302705168237,-1.0901711115511383,-1.9567435667430582
680862,"MacIver, Willie","ATH",2025,,1240,0,-2,9,7.289948964733979,-0.055162936621484394,0.977419354838709,0.014516129032258069,0.008064516129032268,-2.1469774432814064,-0.5384813932660627,0.9754078012814542
700250,"Rice, Ben","NYY",2025,,1102,0,-2,11,9.213087509402955,-0.06486070746268732,0.9618874773139753,0.028130671506352147,0.009981851179673321,-3.0938435679529963,1.7322970787493472,-0.42536600139338204
669257,"Smith, Will","LAD",2025,,4004,-1,-3,48,44.99553211641153,-0.030014664171712484,0.9375624375624393,0.04745254745254748,0.014985014985014986,7.237892043795831,1.2744392099569315,-11.516799137341183
624431,"Trevino, Jose","CIN",2025,,3171,-1,-3,30,26.885840142689517,-0.039283000407574376,0.957742037212236,0.030274361400189197,0.011983601387574894,2.035912361911173,0.26238377923573825,-5.412455998457377
543309,"Higashioka, Kyle","TEX",2025,,2499,-1,-3,21,17.93400119369568,-0.04907561114532766,0.9627851140456186,0.03201280512204881,0.005202080832332938,0.4801653969755516,-3.0979221120121356,-0.4482420912677626
668800,"Knizner, Andrew","SF",2025,,1096,-1,-3,14,10.739488893557425,-0.11899675570958305,0.9461678832116784,0.045620437956204386,0.008211678832116785,-2.122510041633659,0.5106838627895822,-1.6486849275984996
592663,"Realmuto, J.T.","PHI",2025,,4944,-1,-4,33,28.55415045874747,-0.035969656482625664,0.9724919093851128,0.02265372168284789,0.00485436893203884,0.5037703123661652,-1.44019236151714,-3.5094274921015653
663728,"Raleigh, Cal","SEA",2025,,4422,-1,-4,38,33.590581466743345,-0.039886192069259876,0.9624604251469921,0.029850746268656744,0.007688828584350961,2.590829970251773,-2.8150130661057595,-4.1852354374026906
663698,"Bart, Joey","PIT",2025,,3185,-1,-4,28,24.05289304101426,-0.049571201996681115,0.9629513343799062,0.029827315541601233,0.007221350078492927,2.3195626303999077,-5.195811837480832,-1.0708577519048044
680777,"Jeffers, Ryan","MIN",2025,,3028,-1,-4,31,27.175231663229063,-0.05052534130476786,0.9550858652575964,0.03302509907529721,0.011889035667106987,1.6743625560590818,0.7149394189217163,-6.214070311751723
