"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
642136,"Thaiss, Matt",3413,-3.5748065012993324,0.3842627960275019,0,0.1328125,-1,0.3854748603351955,0,0.208955223880597,-1,0.49074074074074076,2,0.6305970149253731,-1,0.16,-2,0.4279661016949153,-1,0.10714285714285714
700337,"Quero, Edgar",4973,-12.932197362649482,0.3711498973305955,-1,0.06,-1,0.430327868852459,0,0.1958762886597938,-5,0.39762611275964393,-2,0.5707434052757794,-1,0.1388888888888889,-2,0.4225721784776903,0,0.19626168224299065
543309,"Higashioka, Kyle",4746,3.02067684078885,0.4312210200927357,1,0.1732283464566929,-1,0.319047619047619,0,0.14444444444444443,1,0.5154061624649859,-1,0.5794392523364486,1,0.4358974358974359,2,0.5331491712707183,1,0.236
657136,"Wong, Connor",3851,0.1843072838963647,0.4222078760490639,0,0.09473684210526316,-1,0.391304347826087,-1,0.16129032258064516,0,0.5412186379928315,2,0.6328671328671329,1,0.2803030303030303,0,0.47928994082840237,0,0.21818181818181817
553869,"Díaz, Elias",5606,1.2779070450890397,0.4125338142470694,3,0.2681818181818182,1,0.4905149051490515,1,0.2571428571428571,5,0.5879518072289157,-4,0.5099502487562189,0,0.26495726495726496,-3,0.384180790960452,-2,0.11442786069651742
608348,"Kelly, Carson",6748,-1.9085859185724734,0.4190268700072622,1,0.18604651162790697,2,0.45012787723785164,1,0.23076923076923078,0,0.5398550724637681,-2,0.5828092243186582,-1,0.15723270440251572,-1,0.46846846846846846,-1,0.1646586345381526
669127,"Langeliers, Shea",8617,-2.884820643911254,0.40389294403892945,-1,0.125,0,0.39915966386554624,0,0.17083333333333334,-5,0.43392857142857144,5,0.650200267022697,-2,0.1686046511627907,-4,0.44789762340036565,2,0.20723684210526316
681351,"O'Hoppe, Logan",7694,-8.19721587526706,0.3998025666337611,0,0.1650485436893204,-1,0.4367816091954023,-1,0.1888111888111888,0,0.5210608424336973,-3,0.5592592592592592,0,0.25738396624472576,-3,0.4067524115755627,-1,0.17218543046357615
623168,"Heineman, Tyler",3450,4.703663122886739,0.47293233082706765,0,0.18072289156626506,0,0.4375,0,0.28169014084507044,1,0.549407114624506,1,0.6486486486486487,1,0.39090909090909093,1,0.5204460966542751,0,0.272
687221,"Rushing, Dalton",2660,-3.0592259542159286,0.3972055888223553,-1,0.0625,0,0.44680851063829785,0,0.18840579710144928,0,0.5178571428571429,-1,0.5423728813559322,0,0.16,0,0.4732142857142857,0,0.20238095238095238
641598,"Garver, Mitch",2975,-2.1931492881309027,0.3898886032562125,0,0.15151515151515152,-1,0.3269230769230769,0,0.1388888888888889,0,0.544973544973545,0,0.525,0,0.31746031746031744,-1,0.46120689655172414,0,0.19827586206896552
607732,"Stallings, Jacob",2711,-2.1187084979380364,0.4213006597549482,0,0.10909090909090909,-1,0.4112903225806452,0,0.14285714285714285,0,0.5260869565217391,0,0.57847533632287,0,0.3516483516483517,-1,0.4195121951219512,0,0.17142857142857143
