"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Marte, Starling",516782,"NYM","FF","4-Seam Fastball",0.4,2,"391",31.2,"104","0.275","0.451","0.36",14.4,16.3,13.5,"0.254","0.43","0.336",46.8
"Wood, James",695578,"WSH","SI","Sinker",0.6,2,"417",14.4,"104","0.33","0.582","0.427",20.5,20.2,24.1,"0.296","0.546","0.399",58.6
"Mountcastle, Ryan",663624,"BAL","FF","4-Seam Fastball",0.2,1,"436",32.2,"104","0.269","0.409","0.341",27.6,27.9,20.6,"0.26","0.47","0.343",56.7
"Schmitt, Casey",669477,"SF","FF","4-Seam Fastball",0.3,1,"370",27.8,"104","0.258","0.495","0.349",20.1,23.1,18.5,"0.247","0.491","0.342",50.7
"Paredes, Isaac",670623,"HOU","SI","Sinker",1.4,6,"402",20.7,"104","0.307","0.5","0.402",6.6,19.2,21.7,"0.25","0.392","0.335",53.6
"Hoskins, Rhys",656555,"MIL","FF","4-Seam Fastball",0.3,1,"377",26.4,"104","0.209","0.523","0.358",21.9,26.9,23.5,"0.218","0.489","0.359",61.7
"Teel, Kyle",691019,"CWS","FF","4-Seam Fastball",1.3,6,"430",35.1,"104","0.329","0.512","0.436",24.5,20.2,15.4,"0.262","0.482","0.393",46.8
"Greene, Riley",682985,"DET","SI","Sinker",-0.5,-2,"430",15.9,"104","0.277","0.415","0.339",16.2,15.4,13.1,"0.253","0.41","0.318",40.5
"Beck, Jordan",687597,"COL","SI","Sinker",-0.4,-2,"429",18.4,"103","0.337","0.411","0.367",13.7,16.5,21.5,"0.271","0.365","0.308",42.3
"Chourio, Jackson",694192,"MIL","SL","Slider",2.2,7,"343",16.3,"103","0.296","0.602","0.41",33.5,19.4,18.7,"0.221","0.406","0.286",30.8
"Contreras, Willson",575929,"STL","SI","Sinker",-0.2,-1,"392",18.1,"103","0.286","0.396","0.359",11.8,10.7,14.3,"0.272","0.396","0.337",42.5
"Grisham, Trent",663757,"NYY","SI","Sinker",0.2,1,"394",16.5,"103","0.247","0.365","0.367",12.8,15.5,18,"0.326","0.554","0.431",49.3
"Donovan, Brendan",680977,"STL","SI","Sinker",-2.2,-8,"371",19.3,"103","0.178","0.289","0.249",10.3,17.5,19.4,"0.216","0.338","0.292",40.5
"Wade Jr., LaMonte",664774,"LAA","FF","4-Seam Fastball",-1.5,-7,"443",42.6,"103","0.146","0.22","0.273",21.1,16.5,12.8,"0.206","0.332","0.321",30.3
"Edwards, Xavier",669364,"MIA","SI","Sinker",-0.1,0,"345",15.3,"103","0.34","0.371","0.339",3,8.7,13,"0.272","0.336","0.287",34.8
"O'Hoppe, Logan",681351,"LAA","FF","4-Seam Fastball",-1,-5,"488",27.8,"103","0.226","0.344","0.29",26.7,35,20.7,"0.238","0.435","0.326",52.6
"Contreras, Willson",575929,"STL","SL","Slider",0.2,1,"357",16.5,"102","0.287","0.394","0.328",35.4,24.5,20.8,"0.23","0.404","0.303",37.1
"Clement, Ernie",676391,"TOR","SI","Sinker",0.4,1,"297",15.9,"102","0.326","0.404","0.359",2.9,2.9,7.7,"0.304","0.384","0.336",28.1
"Clement, Ernie",676391,"TOR","SL","Slider",-1.3,-4,"314",16.8,"102","0.229","0.354","0.284",16.9,9.8,16.1,"0.241","0.342","0.264",22.5
"Chapman, Matt",656305,"SF","SI","Sinker",1.3,5,"360",16.3,"102","0.291","0.43","0.384",15.3,11.8,18.2,"0.271","0.416","0.354",56
